did,handle,score,is_instant,in_quorum
did:plc:yavxyrfpwdxlgi6djfkglykv,marcfranke.bsky.social,0.7250000000000001,True,False
did:plc:gehcdx563lxpxmxrnqfqzfnn,afdler.bsky.social,0.7092307692307692,True,False
did:plc:r5dbxlrk47klt3kya5iaau63,fleischesser.bsky.social,0.7088461538461539,True,False
did:plc:ijewaisck4wmja5nukgqfocf,aliwero.bsky.social,0.701923076923077,True,False
did:plc:ifmzilmwy4l6xkdkuhvepsyq,tboerner1.bsky.social,0.7015384615384616,True,False
did:plc:s4367wggqfa3vz2s2gbwfeyd,mcrj45.bsky.social,0.6788461538461539,True,False
did:plc:yf526rwwvyax4bxmoxwem7m3,sascha1995.bsky.social,0.6780769230769231,True,False
did:plc:wmmox7fbzy4gsimob45dnq66,alternative2026.bsky.social,0.6734615384615384,True,True
did:plc:xq3wppu34f5e3uxgwgeyujb3,bamehinghong.bsky.social,0.6634615384615384,True,False
did:plc:252vtfqdgzxinku4nywlic3g,malacoda2.bsky.social,0.6625,True,False
did:plc:jo7bgydj4d3l7ev37xd2olet,lastenrad.bsky.social,0.6625,True,False
did:plc:qetu7rgcy2s4wz26cbvzqygs,jaschas.bsky.social,0.6625,True,False
did:plc:kkrdmwo5nuddkb6kvtwcpesn,hansolo72.bsky.social,0.6625,True,False
did:plc:ljoyy2mfj6vj4zcdihapcqgg,liberusliber.bsky.social,0.6625,True,False
did:plc:dqm2a5lml7j6kk552bmcaxnu,berndmichelau.bsky.social,0.6625,True,False
did:plc:2flk6jqbu2z4qe25a4ra4o64,rexkramerds.bsky.social,0.6613461538461538,True,True
did:plc:fl5ahlqtmmqu3pawfcwbd6yg,oberwildschwein.bsky.social,0.6561538461538463,True,False
did:plc:bcao4addh6br6t4eagx4hlii,ichmussdippen.bsky.social,0.6557692307692308,True,False
did:plc:gmm3526wf4xugzaehx2itocw,gibtcpcrytxvr.bsky.social,0.6494230769230769,True,False
did:plc:dfn3bjq5l53ys5vyn2rbomrf,p-lent.bsky.social,0.6484615384615385,True,False
did:plc:orxsa332tovypacoeliepocs,meinklarname.bsky.social,0.6475,True,False
did:plc:hgtjxxuniekkx54el4kcelhg,tlm42.bsky.social,0.6475,True,False
did:plc:a5q7h2pg353lhx7cpsptsaol,locinac.bsky.social,0.6475,True,False
did:plc:drhltdjnkowik26tvkyinghn,si-lentseeker.bsky.social,0.6475,True,False
did:plc:nmdqcst76oaeneuyazgh6r6q,bonsaims.bsky.social,0.6475,True,False
did:plc:npz6t3vc4teie5u64uik5j7t,sambal06.bsky.social,0.6407692307692309,True,False
did:plc:ctk3r6qsmooymhbel26ojnwc,boobhunter68.bsky.social,0.6400000000000001,True,True
did:plc:z32uo23iohhq36xes4qtgtys,karstenius89.bsky.social,0.6400000000000001,True,False
did:plc:yidulrr36gi4li5ra4d3tqle,masonbecker.bsky.social,0.64,True,True
did:plc:m3x4u2ehrxuffokcfevpi5co,winfried-fiedler.bsky.social,0.6330769230769232,True,False
did:plc:xtyzkjkuqazmqmymzfahr35g,pauschal73.bsky.social,0.6326923076923077,True,False
did:plc:lddsxetk7kztfetke4ch6pf4,ozzykilmister.bsky.social,0.6325,True,False
did:plc:2bw5smwar3q6blgbxgejacmk,schwaeriwari.bsky.social,0.6325,True,False
did:plc:gwrujj2fi53lul6elrrn4byj,offspringer-de.bsky.social,0.6325,True,False
did:plc:4ggodfkyfgcc7mqekd25wvwt,quelix.bsky.social,0.6325,True,True
did:plc:oz6xdhjfltjyyxc77q3ww3p6,bamdra.bsky.social,0.6325,True,False
did:plc:7n4vbnru4jvxyk5qlojrwox6,nurumzunerven.bsky.social,0.6288461538461538,True,False
did:plc:ntypaa6tz7jtc5pmgsndnwvm,bayonn.bsky.social,0.6257692307692309,True,False
did:plc:htnm7fmvxv33tferrjvpo2ms,waifuenjoyer88.bsky.social,0.6250000000000001,True,False
did:plc:oxhbm7cxrtadzvbvx5rz3uhr,sphinx1963.bsky.social,0.6250000000000001,True,False
did:plc:of7nayihd6rtbiroyubbqij3,interceptor59.bsky.social,0.6250000000000001,True,False
did:plc:s5da24srpe3d6uspp2l5v27d,dawter23.bsky.social,0.6250000000000001,True,False
did:plc:x2vtbsew6xuaui4akmwbk644,cugmag.bsky.social,0.6250000000000001,True,False
did:plc:llpnq25ohqovxt7ygidgdixo,gapano.bsky.social,0.6250000000000001,True,False
did:plc:mimwt6yyc2hp2clamv4ncl76,trust2k.bsky.social,0.6250000000000001,True,False
did:plc:d7iyauijjx6jf3c6ykwmz7cn,dinoalf.bsky.social,0.6250000000000001,True,False
did:plc:eoivutcyzpeodtqxt4gnmg7i,frido68.bsky.social,0.6250000000000001,True,False
did:plc:aibq654qtkzqslo7xguv76ix,behrendt-p.bsky.social,0.6250000000000001,True,False
did:plc:e4vxlsjkjr4jinfjnmrjl233,harrybahlsistreal.bsky.social,0.6250000000000001,True,False
did:plc:vqmfti3lnmjnun3ggslkjdgf,jeanputz.bsky.social,0.6250000000000001,True,False
did:plc:hpjdyuiqgnjv6bxbkv564by6,klugscheisser01.bsky.social,0.6250000000000001,True,False
did:plc:amhi666qaj27ulae2rk2nyk6,tobiredetmit.bsky.social,0.6250000000000001,True,False
did:plc:sxjkzedlen7k3az5s3xv5oes,rsejustin.bsky.social,0.6250000000000001,True,False
did:plc:5gzpjsfqstbxl3oy53aqn4g4,moonlight2026.bsky.social,0.6250000000000001,True,False
